<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	68 	2669 	: 	12261.5 	32.11 	; 
	69 	2772 	: 	5343.75 	1.4115 	; 
	69 	7572 	: 	4421.33 	3.37029 	; 
	70 	6384 	: 	0 	28.3463 	; 
	70 	6929 	: 	0 	inf 	; 
	71 	7973 	: 	0 	inf 	; 
	71 	11253 	: 	16529.1 	53.3813 	; 
	72 	1648 	: 	0 	inf 	; 
	72 	5705 	: 	3475.33 	5.24663 	; 
	72 	10061 	: 	3422.53 	1.49722 	; 
	72 	14077 	: 	0 	inf 	; 
	72 	14078 	: 	178 	792.05 	; 
	72 	14079 	: 	0 	inf 	; 
	72 	14080 	: 	362 	618.3 	; 
	72 	14087 	: 	0 	inf 	; 
	72 	14088 	: 	476.667 	283.116 	; 
	72 	14097 	: 	0 	inf 	; 
	72 	14098 	: 	614.667 	175.943 	; 
	73 	4672 	: 	0 	inf 	; 
	73 	6713 	: 	6207.33 	3.91114 	; 
	73 	12581 	: 	0 	inf 	; 
	73 	12582 	: 	0 	113.801 	; 
	74 	134 	: 	0 	2.07412 	; 
	75 	4903 	: 	14168.7 	35.2234 	; 
	75 	11459 	: 	0 	inf 	; 
	75 	12929 	: 	0 	inf 	; 
	75 	12930 	: 	198.667 	83.9856 	; 
	76 	478 	: 	6926.67 	1.23873 	; 
	76 	8568 	: 	0 	inf 	; 
	77 	6838 	: 	6057.33 	23.7469 	; 
	77 	8749 	: 	0 	inf 	; 
	78 	441 	: 	0 	inf 	; 
	78 	990 	: 	2585.15 	26.2849 	; 
	78 	12195 	: 	0 	inf 	; 
	78 	12196 	: 	0 	453.429 	; 
	79 	5414 	: 	18625.3 	9.06334 	; 
	79 	10210 	: 	0 	inf 	; 
	80 	4308 	: 	18956.4 	16.9663 	; 
	80 	4550 	: 	0 	inf 	; 
	80 	6792 	: 	0 	inf 	; 
	80 	13913 	: 	0 	inf 	; 
	80 	13914 	: 	14.6667 	122.483 	; 
	81 	3622 	: 	0 	inf 	; 
	81 	3830 	: 	1460.67 	77.5025 	; 
	82 	5719 	: 	12180.5 	43.3788 	; 
	82 	10547 	: 	0 	inf 	; 
	82 	12475 	: 	0 	inf 	; 
	82 	12476 	: 	0 	258.07 	; 
	82 	12477 	: 	0 	inf 	; 
	82 	12478 	: 	72.6667 	180.005 	; 
	83 	5711 	: 	0 	3.04753 	; 
	83 	10529 	: 	0 	inf 	; 
	84 	4550 	: 	2653.86 	2.10848 	; 
	84 	6887 	: 	0 	inf 	; 
	85 	5598 	: 	92 	13.4828 	; 
	85 	10219 	: 	0 	inf 	; 
	86 	8195 	: 	9477.38 	8.02561 	; 
	86 	9851 	: 	0 	inf 	; 
	87 	2064 	: 	2779.33 	16.8209 	; 
	87 	6549 	: 	0 	inf 	; 
	87 	6970 	: 	0 	inf 	; 
	88 	6137 	: 	0 	inf 	; 
	88 	7701 	: 	7638.92 	10.6382 	; 
	89 	3010 	: 	0 	inf 	; 
	89 	3398 	: 	9789.21 	23.9023 	; 
	89 	4282 	: 	3713.19 	90.6159 	; 
	89 	12411 	: 	0 	inf 	; 
	89 	12412 	: 	27.3333 	65.2076 	; 
	89 	12417 	: 	0 	inf 	; 
	89 	12418 	: 	0 	85.196 	; 
	90 	4552 	: 	5415.33 	6.88561 	; 
	90 	10370 	: 	0 	inf 	; 
	91 	1886 	: 	0 	inf 	; 
	91 	8033 	: 	11443.3 	40.2923 	; 
	92 	9063 	: 	0 	inf 	; 
	92 	10752 	: 	1854.43 	24.8393 	; 
	92 	11393 	: 	8734.52 	16.9626 	; 
	93 	6672 	: 	18790 	9064.38 	; 
	93 	6743 	: 	0 	inf 	; 
	93 	14219 	: 	0 	inf 	; 
	93 	14220 	: 	1228.67 	475.393 	; 
	94 	8735 	: 	1014.67 	2.1283 	; 
	94 	9443 	: 	4461.87 	41.7923 	; 
	94 	14105 	: 	0 	inf 	; 
	94 	14106 	: 	890.667 	191.934 	; 
	95 	4074 	: 	0 	inf 	; 
	95 	7575 	: 	19855.8 	11.1018 	; 
	96 	5301 	: 	0 	inf 	; 
	96 	6497 	: 	9377.28 	13.3632 	; 
	97 	6145 	: 	0 	10.2628 	; 
	97 	6625 	: 	0 	inf 	; 
	97 	11447 	: 	0 	87.1063 	; 
	98 	3030 	: 	0 	inf 	; 
	98 	5103 	: 	11892.2 	12.6643 	; 
	98 	12457 	: 	0 	inf 	; 
	98 	12458 	: 	472 	162.037 	; 
	99 	5456 	: 	0 	inf 	; 
	99 	7460 	: 	18625.3 	68.2895 	; 
	100 	3478 	: 	20925.9 	39.0574 	; 
	100 	7655 	: 	0 	inf 	; 
	100 	13195 	: 	0 	inf 	; 
	100 	13196 	: 	197.333 	75.2624 	; 
	101 	3644 	: 	17284.5 	13.2117 	; 
	101 	6123 	: 	0 	inf 	; 
	101 	9707 	: 	0 	inf 	; 
	101 	12789 	: 	0 	inf 	; 
	101 	12790 	: 	495.333 	91.5647 	; 
	102 	550 	: 	0 	inf 	; 
	102 	552 	: 	0 	inf 	; 
	102 	10788 	: 	14308.9 	3.34061 	; 
	103 	540 	: 	15538.3 	53.2466 	; 
	103 	2729 	: 	0 	inf 	; 
	104 	1980 	: 	5058.67 	3.27648 	; 
	104 	5728 	: 	0 	inf 	; 
	105 	7231 	: 	0 	inf 	; 
	105 	10671 	: 	18963.3 	1365.39 	; 
	106 	794 	: 	0 	inf 	; 
	106 	3152 	: 	1181.33 	29.4998 	; 
	107 	2906 	: 	412 	26.3676 	; 
	107 	6129 	: 	0 	inf 	; 
	108 	2051 	: 	1189.33 	20.8593 	; 
	108 	6931 	: 	1936.67 	42.6728 	; 
	108 	9232 	: 	0 	inf 	; 
	108 	12779 	: 	0 	inf 	; 
	108 	12780 	: 	0 	117.922 	; 
	109 	1780 	: 	1384 	10.9959 	; 
	109 	9588 	: 	0 	inf 	; 
	110 	4551 	: 	636.026 	13.6189 	; 
	110 	10468 	: 	0 	inf 	; 
	110 	11967 	: 	0 	inf 	; 
	110 	11968 	: 	0 	36.2972 	; 
	111 	5761 	: 	0 	inf 	; 
	111 	10613 	: 	330.497 	3.5637 	; 
	112 	113 	: 	0 	inf 	; 
	112 	7935 	: 	9421.33 	2.89258 	; 
	113 	112 	: 	9421.33 	6.99552 	; 
	113 	9113 	: 	0 	inf 	; 
	114 	7846 	: 	0 	613.129 	; 
	114 	8717 	: 	0 	38.4138 	; 
	115 	697 	: 	0 	inf 	; 
	115 	10857 	: 	11978.7 	57.9961 	; 
	116 	503 	: 	0 	inf 	; 
	116 	3020 	: 	7400 	5.11606 	; 
	116 	12697 	: 	0 	inf 	; 
	116 	12698 	: 	0 	193.878 	; 
	117 	118 	: 	0 	16.5874 	; 
	117 	2677 	: 	0 	inf 	; 
	117 	8681 	: 	3308.67 	12.0001 	; 
	118 	117 	: 	0 	inf 	; 
	118 	793 	: 	0 	2.68352 	; 
	119 	4774 	: 	0 	inf 	; 
	119 	4996 	: 	0 	inf 	; 
	119 	11377 	: 	15340.8 	2685.43 	; 
	119 	14425 	: 	0 	inf 	; 
	119 	14426 	: 	2296.67 	38.0628 	; 
	120 	132 	: 	14591.5 	27.0162 	; 
	120 	3599 	: 	0 	inf 	; 
	120 	4927 	: 	0 	inf 	; 
	121 	6561 	: 	0 	inf 	; 
	121 	7045 	: 	10045.2 	52.8818 	; 
	122 	2353 	: 	0 	inf 	; 
	122 	8673 	: 	0 	10.814 	; 
	123 	3960 	: 	0 	inf 	; 
	123 	11417 	: 	20204.6 	96.4951 	; 
	124 	5752 	: 	0 	inf 	; 
	124 	9823 	: 	0 	16.4313 	; 
	125 	126 	: 	15802.5 	16.2115 	; 
	125 	2639 	: 	0 	inf 	; 
	125 	11771 	: 	0 	inf 	; 
	125 	11772 	: 	137.333 	197.012 	; 
	125 	11805 	: 	0 	inf 	; 
	125 	11806 	: 	9.33333 	149.653 	; 
	125 	11807 	: 	0 	inf 	; 
	125 	11808 	: 	74.6667 	139.243 	; 
	125 	11809 	: 	0 	inf 	; 
	125 	11810 	: 	70 	92.0962 	; 
	125 	11811 	: 	0 	inf 	; 
	125 	11812 	: 	8 	50.6731 	; 
	126 	125 	: 	0 	inf 	; 
	126 	1626 	: 	15965.1 	17.208 	; 
	126 	11769 	: 	0 	inf 	; 
	126 	11770 	: 	86 	253.372 	; 
	126 	11771 	: 	0 	inf 	; 
	126 	11772 	: 	7.33333 	196.927 	; 
	126 	11807 	: 	0 	inf 	; 
	126 	11808 	: 	2.66667 	140.081 	; 
	126 	11809 	: 	0 	inf 	; 
	126 	11810 	: 	2 	96.9837 	; 
	126 	11811 	: 	0 	inf 	; 
	126 	11812 	: 	2 	69.1882 	; 
	127 	3581 	: 	5027.97 	13.792 	; 
	127 	5624 	: 	0 	inf 	; 
	127 	13357 	: 	0 	inf 	; 
	127 	13358 	: 	29.3333 	224.889 	; 
	128 	4353 	: 	14800.4 	17.353 	; 
	128 	7887 	: 	0 	inf 	; 
	128 	13053 	: 	0 	inf 	; 
	128 	13054 	: 	0 	336.776 	; 
	128 	13055 	: 	0 	inf 	; 
	128 	13056 	: 	0 	121.314 	; 
	129 	2615 	: 	0 	inf 	; 
	129 	10995 	: 	9300.89 	3.05598 	; 
	130 	1785 	: 	26684.8 	259.352 	; 
	130 	3400 	: 	0 	inf 	; 
	130 	10816 	: 	0 	inf 	; 
	131 	6098 	: 	5275.33 	17.9261 	; 
	131 	6355 	: 	0 	inf 	; 
	132 	120 	: 	0 	inf 	; 
	132 	7281 	: 	14591.5 	99.6922 	; 
	133 	4275 	: 	4249.33 	8.20647 	; 
	133 	10862 	: 	11643.8 	2.46819 	; 
	133 	11097 	: 	0 	inf 	; 
	134 	74 	: 	0 	2.07412 	; 
	134 	6141 	: 	0 	inf 	; 
	134 	8077 	: 	0 	9.09537 	; 
	135 	3017 	: 	0 	inf 	; 
	135 	4442 	: 	1032.09 	26.7287 	; 
	135 	12837 	: 	0 	inf 	; 
	135 	12838 	: 	112 	211.574 	; 
	136 	1054 	: 	9302.17 	6.26398 	; 
	136 	10976 	: 	0 	inf 	; 
	137 	962 	: 	0 	inf 	; 
	137 	3461 	: 	8572.92 	12.0599 	; 
	137 	9826 	: 	0 	inf 	; 
	138 	193 	: 	16872 	88.8531 	; 
	138 	6048 	: 	0 	inf 	; 
	138 	10079 	: 	2640.35 	37.5134 	; 
	139 	3802 	: 	10800 	675.737 	; 
	139 	10917 	: 	0 	inf 	; 
	139 	12339 	: 	0 	inf 	; 
	139 	12340 	: 	142.667 	116.243 	; 
	140 	7047 	: 	0 	inf 	; 
	140 	7204 	: 	0 	inf 	; 
	140 	10473 	: 	18649.8 	21.3359 	; 
	140 	12627 	: 	0 	inf 	; 
	140 	12628 	: 	316.667 	187.805 	; 
	141 	2690 	: 	0 	inf 	; 
	141 	6104 	: 	7104.67 	37.7177 	; 
	142 	3714 	: 	9272.03 	2.78756 	; 
	142 	8743 	: 	0 	inf 	; 
	142 	13993 	: 	0 	inf 	; 
	142 	13994 	: 	69.3333 	176.254 	; 
	142 	13995 	: 	0 	inf 	; 
	142 	13996 	: 	6 	64.5946 	; 
	142 	13997 	: 	0 	inf 	; 
	142 	13998 	: 	0.666667 	130.858 	; 
	143 	1057 	: 	7637.33 	5.39935 	; 
	143 	7839 	: 	0 	inf 	; 
	144 	6196 	: 	0 	9.44354 	; 
	144 	11132 	: 	0 	3.8923 	; 
	145 	3748 	: 	0 	inf 	; 
	145 	8418 	: 	4634.5 	1.62745 	; 
	146 	5142 	: 	2314.67 	15.6994 	; 
	146 	5274 	: 	0 	inf 	; 
	147 	3041 	: 	0 	inf 	; 
	147 	8286 	: 	0 	inf 	; 
