<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	9396 	6855 	: 	3652.67 	34.6272 	; 
	9396 	9092 	: 	0 	inf 	; 
	9396 	9548 	: 	2567.36 	36.1587 	; 
	9397 	2592 	: 	0 	inf 	; 
	9397 	2695 	: 	0 	65.17 	; 
	9398 	7094 	: 	0 	inf 	; 
	9398 	7165 	: 	10468.1 	19.6649 	; 
	9398 	7637 	: 	0 	inf 	; 
	9398 	14033 	: 	0 	inf 	; 
	9398 	14034 	: 	0 	93.3889 	; 
	9399 	3637 	: 	0 	inf 	; 
	9399 	3658 	: 	3684.96 	62.8821 	; 
	9400 	1930 	: 	9111.13 	46.6487 	; 
	9400 	8355 	: 	0 	inf 	; 
	9401 	6542 	: 	0 	inf 	; 
	9401 	9272 	: 	4008.43 	6.25066 	; 
	9402 	2181 	: 	0 	inf 	; 
	9402 	5808 	: 	1566 	44.8354 	; 
	9403 	1310 	: 	12444.7 	545.313 	; 
	9403 	3052 	: 	0 	inf 	; 
	9403 	6784 	: 	0 	inf 	; 
	9404 	5906 	: 	0 	inf 	; 
	9404 	7175 	: 	19874 	1104.25 	; 
	9405 	6050 	: 	1257.89 	3.12251 	; 
	9405 	7811 	: 	0 	inf 	; 
	9405 	8186 	: 	0 	inf 	; 
	9405 	12521 	: 	0 	inf 	; 
	9405 	12522 	: 	0 	198.783 	; 
	9406 	465 	: 	6326.64 	7.90702 	; 
	9406 	6931 	: 	0 	inf 	; 
	9407 	5012 	: 	14310.2 	5.20218 	; 
	9407 	8184 	: 	0 	inf 	; 
	9408 	893 	: 	3542.64 	28.1718 	; 
	9408 	2384 	: 	0 	inf 	; 
	9408 	3113 	: 	0 	inf 	; 
	9408 	12787 	: 	0 	inf 	; 
	9408 	12788 	: 	23.3333 	139.78 	; 
	9408 	12805 	: 	0 	inf 	; 
	9408 	12806 	: 	107.333 	80.9366 	; 
	9408 	12807 	: 	0 	inf 	; 
	9408 	12808 	: 	37.3333 	282.223 	; 
	9409 	787 	: 	5159.33 	2.87407 	; 
	9409 	1311 	: 	0 	inf 	; 
	9410 	1199 	: 	0 	inf 	; 
	9410 	4988 	: 	18182.1 	5.85451 	; 
	9411 	307 	: 	3104.48 	73.9415 	; 
	9411 	9345 	: 	0 	inf 	; 
	9411 	12535 	: 	0 	inf 	; 
	9411 	12536 	: 	14 	170.673 	; 
	9411 	12537 	: 	0 	inf 	; 
	9411 	12538 	: 	29.3333 	55.7049 	; 
	9411 	12539 	: 	0 	inf 	; 
	9411 	12540 	: 	710.667 	278.858 	; 
	9411 	12555 	: 	0 	inf 	; 
	9411 	12556 	: 	101.333 	76.8012 	; 
	9412 	22 	: 	2511.92 	3.20052 	; 
	9412 	2606 	: 	0 	inf 	; 
	9413 	2110 	: 	0 	inf 	; 
	9413 	7448 	: 	6196 	56.0305 	; 
	9413 	10089 	: 	0 	inf 	; 
	9414 	8131 	: 	0 	inf 	; 
	9414 	9791 	: 	6447.34 	10.758 	; 
	9415 	5586 	: 	0 	inf 	; 
	9415 	5750 	: 	5383.23 	7.70989 	; 
	9415 	13219 	: 	0 	inf 	; 
	9415 	13220 	: 	0 	387.809 	; 
	9415 	13221 	: 	0 	inf 	; 
	9415 	13222 	: 	2.66667 	267.445 	; 
	9415 	13223 	: 	0 	inf 	; 
	9415 	13224 	: 	2.66667 	151.253 	; 
	9416 	1989 	: 	0 	inf 	; 
	9416 	3204 	: 	0 	4.98357 	; 
	9417 	3243 	: 	2944 	11.915 	; 
	9417 	8740 	: 	0 	inf 	; 
	9417 	12983 	: 	0 	inf 	; 
	9417 	12984 	: 	0 	233.886 	; 
	9418 	8840 	: 	0 	inf 	; 
	9418 	9559 	: 	15552 	426.511 	; 
	9419 	7405 	: 	0 	inf 	; 
	9419 	9319 	: 	16927.5 	3.98773 	; 
	9420 	4904 	: 	0 	inf 	; 
	9420 	7640 	: 	677.157 	9.37071 	; 
	9420 	13765 	: 	0 	inf 	; 
	9420 	13766 	: 	0 	320.428 	; 
	9421 	4084 	: 	9421.33 	3.19645 	; 
	9421 	4694 	: 	0 	inf 	; 
	9422 	4978 	: 	0 	inf 	; 
	9422 	5164 	: 	12762.8 	39.4645 	; 
	9423 	5850 	: 	23981.9 	156.448 	; 
	9423 	7632 	: 	0 	inf 	; 
	9423 	13461 	: 	0 	inf 	; 
	9423 	13462 	: 	256 	200.008 	; 
	9423 	13487 	: 	0 	inf 	; 
	9423 	13488 	: 	0.666667 	468.638 	; 
	9423 	13489 	: 	0 	inf 	; 
	9423 	13490 	: 	0.666667 	366.275 	; 
	9423 	13491 	: 	0 	inf 	; 
	9423 	13492 	: 	7.33333 	224.689 	; 
	9424 	4547 	: 	0 	inf 	; 
	9424 	8116 	: 	6810.67 	53.6846 	; 
	9424 	11821 	: 	0 	inf 	; 
	9424 	11822 	: 	90.6667 	54.6194 	; 
	9424 	11847 	: 	0 	inf 	; 
	9424 	11848 	: 	674 	63.9884 	; 
	9425 	619 	: 	5363.37 	39.5846 	; 
	9425 	629 	: 	5890.22 	6.56451 	; 
	9425 	11078 	: 	0 	inf 	; 
	9426 	3000 	: 	0 	4.98926 	; 
	9426 	8783 	: 	0 	inf 	; 
	9427 	851 	: 	0 	inf 	; 
	9427 	6221 	: 	5749.34 	3.89142 	; 
	9428 	9605 	: 	10898.6 	7.32627 	; 
	9428 	10602 	: 	0 	inf 	; 
	9429 	2891 	: 	0 	inf 	; 
	9429 	6804 	: 	806.667 	7.83177 	; 
	9429 	12359 	: 	0 	inf 	; 
	9429 	12360 	: 	329.333 	158.22 	; 
	9429 	12473 	: 	0 	inf 	; 
	9429 	12474 	: 	899.333 	345.825 	; 
	9430 	275 	: 	0 	inf 	; 
	9430 	7381 	: 	12697.7 	9.99711 	; 
	9431 	1609 	: 	7810 	3.97428 	; 
	9431 	3347 	: 	0 	inf 	; 
	9431 	5525 	: 	0 	inf 	; 
	9432 	7122 	: 	0 	inf 	; 
	9432 	10170 	: 	4554 	5.72242 	; 
	9433 	2439 	: 	2337.09 	4.57535 	; 
	9433 	6139 	: 	3867.79 	1.70001 	; 
	9433 	9226 	: 	0 	inf 	; 
	9434 	7122 	: 	4035.33 	3.22117 	; 
	9434 	11126 	: 	0 	inf 	; 
	9434 	12511 	: 	0 	inf 	; 
	9434 	12512 	: 	419.333 	87.1144 	; 
	9435 	5988 	: 	9270.31 	0.943799 	; 
	9435 	6564 	: 	0 	inf 	; 
	9436 	6231 	: 	0 	inf 	; 
	9436 	7649 	: 	20636.9 	66.9835 	; 
	9436 	9769 	: 	0 	inf 	; 
	9437 	9619 	: 	0 	inf 	; 
	9437 	10358 	: 	3308.67 	1.50809 	; 
	9438 	4998 	: 	0 	inf 	; 
	9438 	11407 	: 	6953.49 	3.838 	; 
	9438 	14421 	: 	0 	inf 	; 
	9438 	14422 	: 	0 	562.259 	; 
	9438 	14425 	: 	0 	inf 	; 
	9438 	14426 	: 	0 	65.2203 	; 
	9439 	7287 	: 	11581.2 	23.0335 	; 
	9439 	10771 	: 	0 	inf 	; 
	9440 	3480 	: 	0 	inf 	; 
	9440 	4846 	: 	92 	18.8546 	; 
	9440 	9982 	: 	0 	inf 	; 
	9441 	4280 	: 	0 	11.6581 	; 
	9441 	4759 	: 	0 	inf 	; 
	9441 	10617 	: 	0 	inf 	; 
	9442 	245 	: 	694.667 	7.49997 	; 
	9442 	10277 	: 	0 	inf 	; 
	9442 	12549 	: 	0 	inf 	; 
	9442 	12550 	: 	0 	250.196 	; 
	9442 	12553 	: 	0 	inf 	; 
	9442 	12554 	: 	0 	187.185 	; 
	9442 	12555 	: 	0 	inf 	; 
	9442 	12556 	: 	0 	48.1647 	; 
	9443 	94 	: 	0 	inf 	; 
	9443 	444 	: 	10772.5 	38.6733 	; 
	9443 	4496 	: 	0 	inf 	; 
	9443 	14091 	: 	0 	inf 	; 
	9443 	14092 	: 	292 	491.417 	; 
	9443 	14095 	: 	0 	inf 	; 
	9443 	14096 	: 	764.667 	282.867 	; 
	9443 	14099 	: 	0 	inf 	; 
	9443 	14100 	: 	1665.33 	75.6888 	; 
	9443 	14103 	: 	0 	inf 	; 
	9443 	14104 	: 	0 	140.143 	; 
	9444 	3938 	: 	7062.67 	21.6196 	; 
	9444 	5411 	: 	0 	inf 	; 
	9444 	9171 	: 	0 	inf 	; 
	9444 	12599 	: 	0 	inf 	; 
	9444 	12600 	: 	159.333 	417.043 	; 
	9444 	12603 	: 	0 	inf 	; 
	9444 	12604 	: 	57.3333 	250.562 	; 
	9444 	12605 	: 	0 	inf 	; 
	9444 	12606 	: 	147.333 	136.419 	; 
	9444 	12609 	: 	0 	inf 	; 
	9444 	12610 	: 	0 	88.4969 	; 
	9445 	5725 	: 	15414 	23.7083 	; 
	9445 	6005 	: 	0 	inf 	; 
	9445 	14431 	: 	0 	inf 	; 
	9445 	14432 	: 	458.667 	197.628 	; 
	9446 	664 	: 	0 	inf 	; 
	9446 	3896 	: 	0 	inf 	; 
	9446 	6382 	: 	12358.9 	54.6373 	; 
	9447 	2600 	: 	0 	inf 	; 
	9447 	11430 	: 	11885.3 	4.50639 	; 
	9447 	13569 	: 	0 	inf 	; 
	9447 	13570 	: 	392.667 	43.8051 	; 
	9448 	4015 	: 	4026.57 	21.991 	; 
	9448 	4411 	: 	0 	inf 	; 
	9448 	9964 	: 	0 	inf 	; 
	9449 	917 	: 	0 	inf 	; 
	9449 	8207 	: 	0 	inf 	; 
	9449 	11548 	: 	0 	45.1699 	; 
	9450 	2045 	: 	0 	inf 	; 
	9450 	3337 	: 	4102 	1.22389 	; 
	9451 	175 	: 	0 	inf 	; 
	9451 	7607 	: 	1261.32 	1.97264 	; 
	9452 	3448 	: 	0 	inf 	; 
	9452 	7815 	: 	2284.67 	1.17879 	; 
	9453 	731 	: 	145.052 	16.2619 	; 
	9453 	999 	: 	0 	inf 	; 
	9453 	14111 	: 	0 	inf 	; 
	9453 	14112 	: 	884.667 	552.359 	; 
	9453 	14117 	: 	0 	inf 	; 
	9453 	14118 	: 	472.667 	166.999 	; 
	9453 	14119 	: 	0 	inf 	; 
	9453 	14120 	: 	341.333 	247.745 	; 
	9453 	14121 	: 	0 	inf 	; 
	9453 	14122 	: 	616.667 	337.163 	; 
	9454 	2069 	: 	483.787 	4.29224 	; 
	9454 	4792 	: 	0 	inf 	; 
	9455 	9309 	: 	0 	inf 	; 
	9455 	10091 	: 	5874.89 	1.58825 	; 
	9455 	12573 	: 	0 	inf 	; 
	9455 	12574 	: 	0 	137.689 	; 
	9455 	12577 	: 	0 	inf 	; 
	9455 	12578 	: 	0 	77.6099 	; 
	9456 	784 	: 	0 	inf 	; 
	9456 	10816 	: 	3935.73 	22.2835 	; 
	9457 	3528 	: 	16480 	206.97 	; 
	9457 	9463 	: 	0 	inf 	; 
	9458 	4501 	: 	0 	inf 	; 
	9458 	6733 	: 	23045.3 	17.6314 	; 
	9459 	718 	: 	8911.04 	5.40934 	; 
	9459 	4779 	: 	4979.33 	4.71341 	; 
	9459 	13027 	: 	0 	inf 	; 
	9459 	13028 	: 	0.666667 	52.4462 	; 
	9460 	959 	: 	446.86 	6.74671 	; 
	9460 	2822 	: 	0 	inf 	; 
	9460 	14459 	: 	0 	inf 	; 
	9460 	14460 	: 	228.667 	315.072 	; 
	9461 	3713 	: 	0 	inf 	; 
	9461 	10031 	: 	5662 	21.1385 	; 
	9461 	12589 	: 	0 	inf 	; 
	9461 	12590 	: 	0 	106.017 	; 
	9461 	12591 	: 	0 	inf 	; 
	9461 	12592 	: 	0 	288.985 	; 
	9461 	12597 	: 	0 	inf 	; 
	9461 	12598 	: 	26.6667 	249.681 	; 
	9462 	359 	: 	0 	inf 	; 
	9462 	2481 	: 	0 	1.77513 	; 
	9463 	9457 	: 	16480 	117.611 	; 
	9463 	10235 	: 	0 	inf 	; 
	9463 	13799 	: 	0 	inf 	; 
	9463 	13800 	: 	73.3333 	121.394 	; 
	9464 	4328 	: 	10175.2 	1.14382 	; 
	9464 	9085 	: 	0 	inf 	; 
	9465 	6638 	: 	7806.44 	14.7256 	; 
	9465 	9469 	: 	0 	inf 	; 
	9466 	4181 	: 	15464.4 	15.4417 	; 
	9466 	7711 	: 	0 	inf 	; 
	9466 	11465 	: 	0 	inf 	; 
	9467 	820 	: 	21001.2 	139.76 	; 
	9467 	7766 	: 	0 	inf 	; 
	9467 	13103 	: 	0 	inf 	; 
	9467 	13104 	: 	125.333 	83.9338 	; 
	9467 	13105 	: 	0 	inf 	; 
	9467 	13106 	: 	2322 	150.748 	; 
	9467 	13121 	: 	0 	inf 	; 
	9467 	13122 	: 	79.3333 	246.135 	; 
	9467 	13123 	: 	0 	inf 	; 
	9467 	13124 	: 	368 	491.337 	; 
	9468 	3274 	: 	226.667 	6.49839 	; 
	9468 	8271 	: 	0 	inf 	; 
	9468 	9469 	: 	7806.44 	12.8107 	; 
	9469 	9465 	: 	7806.44 	2.79135 	; 
	9469 	9468 	: 	0 	inf 	; 
	9470 	340 	: 	0 	inf 	; 
	9470 	10634 	: 	0 	12.8173 	; 
	9471 	340 	: 	0 	1.19333 	; 
	9471 	5788 	: 	0 	inf 	; 
	9472 	157 	: 	0 	inf 	; 
	9472 	3080 	: 	3199.33 	5.46688 	; 
	9473 	3872 	: 	0 	inf 	; 
	9473 	10330 	: 	9381.33 	2.05814 	; 
	9473 	13733 	: 	0 	inf 	; 
	9473 	13734 	: 	250.667 	179.738 	; 
	9474 	8675 	: 	5791.9 	13.8364 	; 
	9474 	10087 	: 	0 	inf 	; 
	9474 	12043 	: 	0 	inf 	; 
	9474 	12044 	: 	0 	88.0716 	; 
	9475 	2555 	: 	15872.7 	150.661 	; 
	9475 	4638 	: 	0 	inf 	; 
	9475 	14423 	: 	0 	inf 	; 
	9475 	14424 	: 	273.333 	126.43 	; 
	9476 	3456 	: 	6458.39 	75.7287 	; 
	9476 	10974 	: 	0 	inf 	; 
	9476 	12923 	: 	0 	inf 	; 
	9476 	12924 	: 	67.3333 	165.879 	; 
	9477 	5205 	: 	9618.67 	2.07024 	; 
	9477 	10338 	: 	0 	inf 	; 
	9478 	229 	: 	0 	inf 	; 
	9478 	9027 	: 	4761.06 	48.282 	; 
	9478 	10519 	: 	6001.33 	3.64053 	; 
	9478 	12929 	: 	0 	inf 	; 
	9478 	12930 	: 	150 	87.2069 	; 
	9479 	5205 	: 	0 	inf 	; 
	9479 	5970 	: 	9618.67 	2.30721 	; 
	9480 	3918 	: 	683.333 	4.56658 	; 
	9480 	4153 	: 	0 	inf 	; 
	9480 	14471 	: 	0 	inf 	; 
	9480 	14472 	: 	0 	384.29 	; 
	9480 	14477 	: 	0 	inf 	; 
	9480 	14478 	: 	0 	2156.63 	; 
	9481 	2174 	: 	0 	inf 	; 
	9481 	10352 	: 	7379.22 	8.22365 	; 
	9482 	319 	: 	0 	inf 	; 
	9482 	6198 	: 	14232.6 	3.57807 	; 
	9483 	4117 	: 	0 	inf 	; 
	9483 	4875 	: 	6310.15 	41.4322 	; 
	9483 	6325 	: 	0 	inf 	; 
	9484 	5116 	: 	0 	inf 	; 
	9484 	9051 	: 	6561.33 	13.7263 	; 
	9484 	14127 	: 	0 	inf 	; 
	9484 	14128 	: 	1114.67 	102.022 	; 
	9485 	1246 	: 	3308.67 	7.84637 	; 
	9485 	1509 	: 	0 	inf 	; 
	9485 	3922 	: 	0 	inf 	; 
	9486 	4340 	: 	0 	inf 	; 
	9486 	9766 	: 	5067.5 	21.2807 	; 
	9487 	2412 	: 	0 	inf 	; 
	9487 	3925 	: 	2979.33 	1.33713 	; 
	9488 	1496 	: 	4162 	9.77242 	; 
	9488 	2691 	: 	3388.69 	3.55629 	; 
	9488 	12011 	: 	0 	inf 	; 
	9488 	12012 	: 	311.333 	54.8333 	; 
	9489 	5069 	: 	2646.67 	136.978 	; 
	9489 	8794 	: 	1673.33 	16.5878 	; 
	9489 	12159 	: 	0 	inf 	; 
	9489 	12160 	: 	422.667 	178.171 	; 
	9490 	1366 	: 	0 	2.58576 	; 
	9490 	7689 	: 	0 	inf 	; 
	9491 	1231 	: 	10040.9 	10.4386 	; 
	9491 	10165 	: 	0 	inf 	; 
	9492 	587 	: 	1460.67 	4.69839 	; 
	9492 	10377 	: 	0 	inf 	; 
	9493 	4147 	: 	0 	inf 	; 
	9493 	5958 	: 	972 	1.50609 	; 
	9493 	13319 	: 	0 	inf 	; 
	9493 	13320 	: 	0 	227.859 	; 
	9494 	5066 	: 	11818 	12.366 	; 
	9494 	6522 	: 	0 	inf 	; 
	9495 	1580 	: 	0 	inf 	; 
	9495 	9953 	: 	0 	2.7773 	; 
	9496 	5127 	: 	0 	inf 	; 
	9496 	7063 	: 	2402.47 	5.90008 	; 
	9497 	8575 	: 	5818 	18.6256 	; 
	9497 	8576 	: 	0 	inf 	; 
	9498 	3158 	: 	0 	inf 	; 
	9498 	8066 	: 	3011.57 	4.12869 	; 
	9499 	10934 	: 	0 	inf 	; 
	9499 	11332 	: 	10964.4 	14.3545 	; 
	9499 	13429 	: 	0 	inf 	; 
	9499 	13430 	: 	113.333 	184.329 	; 
	9500 	4386 	: 	3862 	8.53324 	; 
	9500 	7485 	: 	0 	inf 	; 
	9500 	11791 	: 	0 	inf 	; 
	9500 	11792 	: 	0 	102.157 	; 
	9500 	11795 	: 	0 	inf 	; 
	9500 	11796 	: 	0 	55.7807 	; 
	9501 	811 	: 	0 	inf 	; 
	9501 	6959 	: 	3268.72 	8.31754 	; 
	9502 	5851 	: 	0 	inf 	; 
	9502 	10213 	: 	92 	1.76801 	; 
	9503 	6446 	: 	0 	inf 	; 
	9503 	10926 	: 	21778.8 	17.0545 	; 
	9503 	11951 	: 	0 	inf 	; 
	9503 	11952 	: 	363.333 	222.948 	; 
	9504 	1742 	: 	0 	inf 	; 
	9504 	2343 	: 	13346.3 	10.5961 	; 
	9504 	13797 	: 	0 	inf 	; 
	9504 	13798 	: 	838 	93.2765 	; 
	9505 	5404 	: 	0 	inf 	; 
	9505 	7126 	: 	0 	7.96989 	; 
	9506 	43 	: 	24116.3 	25.8594 	; 
	9506 	9679 	: 	0 	inf 	; 
	9506 	14419 	: 	0 	inf 	; 
	9506 	14420 	: 	462 	207.754 	; 
	9507 	2693 	: 	5253.42 	248.358 	; 
	9507 	9509 	: 	0 	inf 	; 
	9507 	14223 	: 	0 	inf 	; 
	9507 	14224 	: 	138.667 	402.885 	; 
	9508 	2815 	: 	0 	inf 	; 
	9508 	5482 	: 	15747.7 	6.90427 	; 
	9509 	2693 	: 	15048.6 	393.789 	; 
	9509 	9507 	: 	4639.42 	145.432 	; 
	9509 	10397 	: 	0 	inf 	; 
	9510 	5846 	: 	0 	inf 	; 
	9510 	10715 	: 	8836.2 	6.26128 	; 
	9511 	2043 	: 	0 	inf 	; 
	9511 	10789 	: 	3994 	18.79 	; 
	9512 	2021 	: 	6602 	5.61859 	; 
	9512 	3411 	: 	0 	inf 	; 
	9512 	12355 	: 	0 	inf 	; 
	9512 	12356 	: 	62 	116.944 	; 
	9513 	6976 	: 	0 	inf 	; 
	9513 	7363 	: 	0 	4.71493 	; 
	9513 	12947 	: 	0 	inf 	; 
	9513 	12948 	: 	1242.67 	217.137 	; 
	9514 	4508 	: 	0 	49.5611 	; 
	9514 	5659 	: 	0 	inf 	; 
	9514 	9722 	: 	0 	24.2628 	; 
	9515 	2903 	: 	9208.67 	131.372 	; 
	9515 	9756 	: 	0 	inf 	; 
	9516 	8458 	: 	0 	inf 	; 
	9516 	10425 	: 	7236.31 	2.31225 	; 
	9517 	4721 	: 	0 	inf 	; 
	9517 	5918 	: 	6707.73 	229.662 	; 
	9517 	6376 	: 	1572.67 	13.2987 	; 
	9518 	8518 	: 	0 	inf 	; 
	9518 	8576 	: 	5818 	0.794952 	; 
	9519 	6575 	: 	603.333 	6.04058 	; 
	9519 	8866 	: 	0 	inf 	; 
	9520 	10196 	: 	876.667 	21.4401 	; 
	9520 	10647 	: 	0 	inf 	; 
	9520 	13935 	: 	0 	inf 	; 
	9520 	13936 	: 	0 	193.845 	; 
	9521 	1435 	: 	0 	inf 	; 
	9521 	3798 	: 	2502.87 	14.3033 	; 
	9522 	3696 	: 	0 	inf 	; 
	9522 	6766 	: 	0 	0.997241 	; 
	9522 	10501 	: 	10473.3 	33.4327 	; 
	9522 	12343 	: 	0 	inf 	; 
	9522 	12344 	: 	20.6667 	79.143 	; 
	9523 	4442 	: 	15994.5 	13.347 	; 
	9523 	9011 	: 	0 	inf 	; 
	9524 	3561 	: 	3308.67 	7.60183 	; 
	9524 	4793 	: 	0 	inf 	; 
	9525 	6418 	: 	0 	inf 	; 
	9525 	8390 	: 	6097.33 	19.3687 	; 
	9526 	517 	: 	0 	inf 	; 
	9526 	8656 	: 	0 	10.3015 	; 
	9526 	10798 	: 	7609.33 	19.2334 	; 
	9527 	29 	: 	0 	inf 	; 
	9527 	7825 	: 	0 	12.2828 	; 
	9528 	6705 	: 	0 	inf 	; 
	9528 	10808 	: 	954.771 	0.980976 	; 
	9528 	13729 	: 	0 	inf 	; 
	9528 	13730 	: 	64 	359.363 	; 
	9528 	13739 	: 	0 	inf 	; 
	9528 	13740 	: 	113.333 	255.583 	; 
	9529 	1770 	: 	0 	inf 	; 
	9529 	8457 	: 	0 	1.88122 	; 
	9530 	2841 	: 	92 	34.5563 	; 
	9530 	8171 	: 	0 	inf 	; 
	9531 	2923 	: 	5049.36 	4.40747 	; 
	9531 	10316 	: 	0 	inf 	; 
	9532 	151 	: 	0 	inf 	; 
	9532 	7436 	: 	0 	inf 	; 
	9532 	8433 	: 	0 	12.6032 	; 
	9533 	1807 	: 	0 	inf 	; 
	9533 	5286 	: 	306.667 	3.7299 	; 
	9533 	13109 	: 	0 	inf 	; 
	9533 	13110 	: 	0 	92.246 	; 
	9534 	335 	: 	0 	inf 	; 
	9534 	2598 	: 	8336.48 	7.76777 	; 
	9535 	5172 	: 	0 	29.5607 	; 
	9535 	9217 	: 	0 	inf 	; 
	9535 	9221 	: 	0 	inf 	; 
	9536 	2784 	: 	0 	8.30434 	; 
	9536 	8748 	: 	0 	15.4775 	; 
	9537 	302 	: 	11295.4 	37.887 	; 
	9537 	8859 	: 	0 	inf 	; 
	9537 	14053 	: 	0 	inf 	; 
	9537 	14054 	: 	722 	134.34 	; 
	9538 	950 	: 	0 	inf 	; 
	9538 	2077 	: 	4161.92 	4.8692 	; 
	9539 	2465 	: 	0 	inf 	; 
	9539 	5593 	: 	0 	inf 	; 
	9539 	9604 	: 	5426.67 	8.90307 	; 
	9540 	598 	: 	11898.6 	8.96929 	; 
	9540 	10173 	: 	0 	inf 	; 
	9541 	3134 	: 	0 	inf 	; 
	9541 	6448 	: 	4664 	18.653 	; 
	9541 	12501 	: 	0 	inf 	; 
	9541 	12502 	: 	0 	126.627 	; 
	9542 	31 	: 	0 	inf 	; 
	9542 	4673 	: 	2311.33 	3.19639 	; 
	9543 	5926 	: 	1032 	4.21799 	; 
	9543 	7820 	: 	0 	inf 	; 
	9544 	8345 	: 	798 	2.89836 	; 
	9544 	10873 	: 	0 	inf 	; 
	9545 	7674 	: 	7406.67 	47.4247 	; 
	9545 	11169 	: 	0 	inf 	; 
	9546 	9547 	: 	0 	inf 	; 
	9546 	11315 	: 	2806.51 	25.2371 	; 
	9546 	12291 	: 	0 	inf 	; 
	9546 	12292 	: 	13.3333 	322.225 	; 
	9546 	12293 	: 	0 	inf 	; 
	9546 	12294 	: 	36.6667 	132.529 	; 
	9547 	5068 	: 	0 	inf 	; 
	9547 	9546 	: 	2856.51 	14.7882 	; 
	9547 	12291 	: 	0 	inf 	; 
	9547 	12292 	: 	83.3333 	330.02 	; 
	9547 	12293 	: 	0 	inf 	; 
	9547 	12294 	: 	60.6667 	143.9 	; 
	9548 	9003 	: 	2567.36 	38.5021 	; 
	9548 	9396 	: 	0 	inf 	; 
	9549 	586 	: 	0 	inf 	; 
	9549 	1009 	: 	5971.25 	22.7422 	; 
	9549 	1862 	: 	1671.03 	18.978 	; 
	9549 	12151 	: 	0 	inf 	; 
	9549 	12152 	: 	0 	91.3775 	; 
	9549 	12153 	: 	0 	inf 	; 
	9549 	12154 	: 	0 	71.3039 	; 
	9550 	10829 	: 	0 	1.30956 	; 
	9550 	11386 	: 	0 	inf 	; 
	9551 	5646 	: 	0 	inf 	; 
	9551 	8082 	: 	0 	2.52019 	; 
	9551 	9884 	: 	0 	2.14161 	; 
	9552 	3594 	: 	0 	0.72839 	; 
	9552 	9568 	: 	0 	inf 	; 
	9553 	168 	: 	8167.33 	15.1401 	; 
	9553 	2742 	: 	0 	inf 	; 
	9553 	5156 	: 	0 	inf 	; 
	9553 	12459 	: 	0 	inf 	; 
	9553 	12460 	: 	9.33333 	73.3258 	; 
	9553 	12461 	: 	0 	inf 	; 
	9553 	12462 	: 	0 	70.4772 	; 
	9553 	12465 	: 	0 	inf 	; 
	9553 	12466 	: 	22 	180.66 	; 
	9554 	238 	: 	0 	inf 	; 
	9554 	6920 	: 	7305.23 	5.31244 	; 
	9554 	10247 	: 	0 	inf 	; 
	9555 	2263 	: 	2573.33 	20.0034 	; 
	9555 	9060 	: 	0 	inf 	; 
	9555 	10434 	: 	0 	inf 	; 
	9555 	12971 	: 	0 	inf 	; 
	9555 	12972 	: 	0 	221.968 	; 
	9555 	12975 	: 	0 	inf 	; 
	9555 	12976 	: 	0 	336.329 	; 
	9555 	12999 	: 	0 	inf 	; 
	9555 	13000 	: 	0 	625.135 	; 
	9556 	3114 	: 	0 	inf 	; 
	9556 	9715 	: 	10782.9 	101.901 	; 
	9557 	1659 	: 	16457.2 	3.40455 	; 
	9557 	6720 	: 	0 	inf 	; 
	9558 	45 	: 	0 	inf 	; 
	9558 	10289 	: 	2495.72 	15.9676 	; 
	9558 	10711 	: 	19517.9 	90.6737 	; 
	9558 	14405 	: 	0 	inf 	; 
	9558 	14406 	: 	99.3333 	1663.16 	; 
	9558 	14407 	: 	0 	inf 	; 
	9558 	14408 	: 	36.6667 	719.607 	; 
	9558 	14409 	: 	0 	inf 	; 
	9558 	14410 	: 	121.333 	491.808 	; 
	9558 	14413 	: 	0 	inf 	; 
	9558 	14414 	: 	718.667 	206.692 	; 
	9559 	5548 	: 	16795.4 	47.8863 	; 
	9559 	6518 	: 	0 	inf 	; 
	9559 	9418 	: 	0 	inf 	; 
	9560 	4319 	: 	0 	inf 	; 
	9560 	6059 	: 	859.886 	4.35545 	; 
	9560 	13515 	: 	0 	inf 	; 
	9560 	13516 	: 	0 	64.1963 	; 
	9561 	2789 	: 	14817.6 	23.7961 	; 
	9561 	3879 	: 	0 	inf 	; 
	9561 	12507 	: 	0 	inf 	; 
	9561 	12508 	: 	12 	109.399 	; 
	9562 	46 	: 	22116.9 	54.5402 	; 
	9562 	7727 	: 	0 	inf 	; 
	9563 	4437 	: 	0 	inf 	; 
	9563 	10500 	: 	13526.2 	3.51555 	; 
	9564 	3911 	: 	6936.39 	48.7702 	; 
	9564 	5397 	: 	0 	inf 	; 
	9564 	14051 	: 	0 	inf 	; 
	9564 	14052 	: 	291.333 	119.134 	; 
	9565 	8969 	: 	0 	inf 	; 
	9565 	10902 	: 	1933.7 	4.14972 	; 
	9565 	13701 	: 	0 	inf 	; 
	9565 	13702 	: 	0 	179.427 	; 
	9565 	13703 	: 	0 	inf 	; 
	9565 	13704 	: 	172 	78.7114 	; 
	9565 	13715 	: 	0 	inf 	; 
	9565 	13716 	: 	70.6667 	171.456 	; 
	9566 	3602 	: 	0 	inf 	; 
	9566 	9158 	: 	6559.33 	6.0145 	; 
	9567 	7698 	: 	0 	inf 	; 
	9567 	8312 	: 	12 	0.783551 	; 
	9567 	13973 	: 	0 	inf 	; 
