OSM_INIT,OSM_TERM
4184031306,2487368780
615115479,3958727210
415168409,3958720793
415168409,65417680
263620275,110362319
276571841,4178809601
65482122,65424549
65482129,4178798713
65514294,686229392
65514293,4178751638
26270951,65405009
26270950,26270951
26270950,26270951
26270950,26270951
26270950,26270951
65464792,4178818706
297823202,4178798716
4178722993,615115417
1390562678,65411367
564663634,1642836849
56144664,347279516
65492828,564663737
272141043,272140989
65418212,4178892566
65418211,4178791292
65418211,415186578
65418219,65418220
65416082,415279645
1129158236,690740296
65405009,65400935
65405009,65400935
65405009,65400935
65405009,65400935
65405009,65400935
415192421,4178892556
690715247,4178892560
262256894,262256988
262256894,262256988
4178751637,1390562723
4178751638,65514294
415194034,4178892558
415168453,4178710273
415168457,4178710270
690700726,615115468
415170413,3958687702
415170413,415170368
2487368780,4178356177
2487368780,2487368779
1514808468,4178892549
1514808460,4178892553
615115423,615115425
1447212695,1447212693
690698467,3986533328
690698467,259586114
413802380,4184031305
1642836849,3958687691
1407985649,4178843283
564637538,65471603
564637538,564663746
614140947,4178798715
4178750072,689940014
110394752,318560081
615115485,69396594
615115485,690701627
1080063476,65405009
1080063476,65405009
1080063476,65405009
4178356180,4184031306
415190806,415191959
256997234,34006175
65412477,4178750074
65412471,4178710276
65433304,4178852389
65433304,4178852389
1112512869,4178750072
663915270,4178718985
69396648,564663616
69396648,65369957
65398036,4178884545
65404977,526773559
36226020,689937249
263645116,263645143
76783704,65417685
110958312,26270950
686229392,885401687
33219772,256997232
4178818698,65464808
4178818699,4178818698
690717174,415193197
65482124,65482122
4178752660,323495342
4178752660,323495342
4178752660,323495342
259586113,689905678
259586113,76783494
1741128783,4178892557
65439822,69329119
415168473,648467515
3053904262,4178798719
415165949,415165950
885401683,120592954
885401683,120592954
885401683,120592954
885401683,885401681
885401685,885401683
885401687,1390562781
69329119,663915270
4178884545,415190811
4178884542,413802373
4178884541,65398036
4178884540,413802380
65405479,3958687695
689549864,3958720796
228555555,33917655
689629891,690698467
615115451,3958727205
615115454,4184235060
65417651,648467517
689559084,415170413
65466073,65466071
689549856,415168467
65464808,413800437
4178892553,415190806
4178892552,415187880
110382349,2469023151
4178818709,65464792
4178818700,65466073
689883760,615115405
276571756,415168187
276571756,4178818709
415193197,65418219
3958687700,65416076
3958687702,415170412
4178843285,4178843286
4178843287,4178843288
4178843286,1407985668
4178843281,65433301
4178843283,4178843285
4178843288,1407985670
110362285,110374497
2388119340,56144664
4178772848,65414993
263645145,263620389
1447212624,3998034753
615115481,615115440
65471603,1642836834
65471603,564637539
413802366,413802368
413802368,4178884538
4178692272,65393013
4178818708,415168189
4178818702,276566342
323494789,323499118
365488563,4178843282
4178791289,3053906686
65373679,65404975
65373679,65404975
65373679,65404975
76783494,689629891
615115400,615115454
615115400,415168409
615115405,4178753521
615115405,615115406
615115406,4178718987
615115406,4178718987
615115406,415165881
4178772847,614141015
65417685,3958687696
65417685,276571756
65579571,65598535
415168630,4178710272
65382476,257177775
65382476,4178753523
65417680,615115400
65417680,76783704
415168187,4178809599
415168187,415168390
4178753521,415165949
4178753523,415165929
415167887,65417651
689940012,1112512869
689940012,1112512869
65414993,4178809605
4178718978,415165882
